,index,video_id,start,end,bbox,fps,width,height,partition,person_id
0,0,WMh3ye5tBsE,3657,3994,624-48-1018-553,25,1280,720,train,id10005
1,1,WMh3ye5tBsE,3467,3576,610-41-989-550,25,1280,720,train,id10005
2,2,WMh3ye5tBsE,1426,1546,522-49-931-580,25,1280,720,train,id10005
3,3,WMh3ye5tBsE,3292,3435,600-59-1095-540,25,1280,720,train,id10005
4,4,WMh3ye5tBsE,4022,4235,534-42-1021-572,25,1280,720,train,id10005
5,5,bDxy7bnj_bc,16635,16759,113-6-383-355,25,640,360,train,id10003
6,6,tCq2LcKO6xY,5579,5653,734-53-1047-364,25,1280,720,train,id10003
7,7,tCq2LcKO6xY,6893,6996,762-76-1013-399,25,1280,720,train,id10003
8,8,na8-QEFmj44,5580,5654,732-54-1041-361,25,1280,720,train,id10003
9,9,na8-QEFmj44,6893,6998,764-79-1010-397,25,1280,720,train,id10003
10,10,na8-QEFmj44,1923,2058,737-74-1008-392,25,1280,720,train,id10003
11,11,5ablueV_1tw,20711,20811,80-0-351-339,25,480,360,train,id10003
12,12,5ablueV_1tw,5700,5826,113-5-330-329,25,480,360,train,id10003
13,13,5ablueV_1tw,17427,17553,52-9-349-329,25,480,360,train,id10003
14,14,K5zRxtXc27s,5470,5566,196-38-630-508,25,1280,720,train,id10003
15,15,K5zRxtXc27s,8795,8911,214-48-672-510,25,1280,720,train,id10003
16,16,K5zRxtXc27s,1250,1437,279-83-768-518,25,1280,720,train,id10003
17,17,K5zRxtXc27s,7574,7830,207-44-685-506,25,1280,720,train,id10003
18,18,K5zRxtXc27s,3184,3333,296-50-645-534,25,1280,720,train,id10003
19,19,K5zRxtXc27s,7353,7463,272-89-602-523,25,1280,720,train,id10003
20,20,K5zRxtXc27s,3721,3881,254-62-677-515,25,1280,720,train,id10003
21,21,K5zRxtXc27s,6205,6297,234-52-676-541,25,1280,720,train,id10003
22,22,K5zRxtXc27s,6297,6546,249-38-723-518,25,1280,720,train,id10003
23,23,K5zRxtXc27s,13376,13440,329-65-802-511,25,1280,720,train,id10003
24,24,K5zRxtXc27s,14297,14424,276-67-684-522,25,1280,720,train,id10003
25,25,K5zRxtXc27s,12097,12215,288-45-659-492,25,1280,720,train,id10003
26,26,K5zRxtXc27s,4852,4951,393-68-696-539,25,1280,720,train,id10003
27,29,VM8gJWbQsEY,1493,1574,388-0-995-511,25,1280,720,train,id10009
28,30,VM8gJWbQsEY,1587,1667,171-0-651-472,25,1280,720,train,id10009
29,31,VM8gJWbQsEY,4658,4762,411-0-861-512,25,1280,720,train,id10009
30,32,VM8gJWbQsEY,1355,1485,556-0-1036-558,25,1280,720,train,id10009
31,33,VM8gJWbQsEY,3494,3642,280-0-798-553,25,1280,720,train,id10009
32,34,VM8gJWbQsEY,4462,4570,392-0-847-577,25,1280,720,train,id10009
33,35,JrwqvWr5_VE,231,407,387-74-709-443,25,1280,720,train,id10009
34,36,JrwqvWr5_VE,2886,3047,345-24-735-460,25,1280,720,train,id10009
35,37,JrwqvWr5_VE,2595,2731,371-39-683-395,25,1280,720,train,id10009
36,38,JrwqvWr5_VE,2344,2443,327-40-703-421,25,1280,720,train,id10009
37,39,JrwqvWr5_VE,3141,3219,245-48-668-439,25,1280,720,train,id10009
38,40,JrwqvWr5_VE,3562,3666,390-39-700-442,25,1280,720,train,id10009
39,41,JrwqvWr5_VE,3780,3932,364-28-692-447,25,1280,720,train,id10009
40,42,JrwqvWr5_VE,3299,3404,387-25-749-392,25,1280,720,train,id10009
41,43,JrwqvWr5_VE,1377,1489,397-77-712-432,25,1280,720,train,id10009
42,44,AtavJVP4bCk,10092,10216,453-83-830-513,25,1280,720,train,id10009
43,45,AtavJVP4bCk,4709,4812,406-52-835-518,25,1280,720,train,id10009
44,46,AtavJVP4bCk,14303,14466,400-44-862-624,25,1280,720,train,id10009
45,47,AtavJVP4bCk,14779,14947,387-75-831-610,25,1280,720,train,id10009
46,48,AtavJVP4bCk,13822,13965,382-59-857-599,25,1280,720,train,id10009
47,49,AtavJVP4bCk,14187,14301,436-97-834-604,25,1280,720,train,id10009
48,50,AtavJVP4bCk,7377,7540,409-44-889-529,25,1280,720,train,id10009
49,51,AtavJVP4bCk,12568,12652,385-70-862-507,25,1280,720,train,id10009
50,52,AtavJVP4bCk,12678,12801,414-46-773-521,25,1280,720,train,id10009
51,53,AtavJVP4bCk,14886,14990,423-100-821-608,25,1280,720,train,id10009
52,54,lu_eVSfv3Tg,15276,15451,155-29-467-309,25,640,360,train,id10004
53,55,bIZQaEVuATQ,9358,9470,512-93-792-424,25,1280,720,train,id10004
54,56,bIZQaEVuATQ,7312,7418,532-83-845-408,25,1280,720,train,id10004
55,57,bIZQaEVuATQ,1663,1846,412-67-748-390,25,1280,720,train,id10004
56,58,bIZQaEVuATQ,5218,5357,464-97-729-430,25,1280,720,train,id10004
